PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.41: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=2 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.5 icmp_seq=3 Destination Host Unreachable
From 192.168.10.41: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.32)
1240 bytes from 198.51.100.100: icmp_seq=151 ttl=51 time=26.1 ms
1240 bytes from 198.51.100.100: icmp_seq=154 ttl=51 time=41.9 ms
1240 bytes from 198.51.100.100: icmp_seq=155 ttl=51 time=55.2 ms
1240 bytes from 198.51.100.100: icmp_seq=156 ttl=51 time=53.0 ms
1240 bytes from 198.51.100.100: icmp_seq=157 ttl=51 time=48.6 ms
1240 bytes from 198.51.100.100: icmp_seq=161 ttl=51 time=48.1 ms
1240 bytes from 198.51.100.100: icmp_seq=162 ttl=51 time=22.5 ms
1240 bytes from 198.51.100.100: icmp_seq=168 ttl=51 time=110 ms
1240 bytes from 198.51.100.100: icmp_seq=169 ttl=51 time=80.3 ms
1240 bytes from 198.51.100.100: icmp_seq=177 ttl=51 time=101 ms
1240 bytes from 198.51.100.100: icmp_seq=186 ttl=51 time=188 ms
1240 bytes from 198.51.100.100: icmp_seq=187 ttl=51 time=52.5 ms
1240 bytes from 198.51.100.100: icmp_seq=190 ttl=51 time=56.2 ms
1240 bytes from 198.51.100.100: icmp_seq=191 ttl=51 time=24.4 ms
1240 bytes from 198.51.100.100: icmp_seq=192 ttl=51 time=24.5 ms
1240 bytes from 198.51.100.100: icmp_seq=193 ttl=51 time=38.4 ms
1240 bytes from 198.51.100.100: icmp_seq=196 ttl=51 time=51.2 ms
1240 bytes from 198.51.100.100: icmp_seq=198 ttl=51 time=26.6 ms
1240 bytes from 198.51.100.100: icmp_seq=205 ttl=51 time=34.8 ms
1240 bytes from 198.51.100.100: icmp_seq=207 ttl=51 time=43.9 ms
1240 bytes from 198.51.100.100: icmp_seq=208 ttl=51 time=45.8 ms
1240 bytes from 198.51.100.100: icmp_seq=209 ttl=51 time=25.6 ms
1240 bytes from 198.51.100.100: icmp_seq=214 ttl=51 time=34.1 ms
1240 bytes from 198.51.100.100: icmp_seq=215 ttl=51 time=30.2 ms
1240 bytes from 198.51.100.100: icmp_seq=217 ttl=51 time=51.1 ms
1240 bytes from 198.51.100.100: icmp_seq=220 ttl=51 time=45.8 ms
1240 bytes from 198.51.100.100: icmp_seq=222 ttl=51 time=27.7 ms
1240 bytes from 198.51.100.100: icmp_seq=223 ttl=51 time=23.9 ms
1240 bytes from 198.51.100.100: icmp_seq=228 ttl=51 time=57.2 ms
1240 bytes from 198.51.100.100: icmp_seq=233 ttl=51 time=46.2 ms
1240 bytes from 198.51.100.100: icmp_seq=234 ttl=51 time=55.5 ms
1240 bytes from 198.51.100.100: icmp_seq=235 ttl=51 time=21.9 ms
1240 bytes from 198.51.100.100: icmp_seq=236 ttl=51 time=25.1 ms
1240 bytes from 198.51.100.100: icmp_seq=242 ttl=51 time=47.1 ms
1240 bytes from 198.51.100.100: icmp_seq=243 ttl=51 time=56.3 ms
1240 bytes from 198.51.100.100: icmp_seq=246 ttl=51 time=36.8 ms
1240 bytes from 198.51.100.100: icmp_seq=250 ttl=51 time=51.2 ms
1240 bytes from 198.51.100.100: icmp_seq=251 ttl=51 time=28.5 ms
1240 bytes from 198.51.100.100: icmp_seq=253 ttl=51 time=35.1 ms
1240 bytes from 198.51.100.100: icmp_seq=254 ttl=51 time=53.3 ms
1240 bytes from 198.51.100.100: icmp_seq=255 ttl=51 time=50.1 ms
1240 bytes from 198.51.100.100: icmp_seq=256 ttl=51 time=22.0 ms
1240 bytes from 198.51.100.100: icmp_seq=257 ttl=51 time=32.0 ms
1240 bytes from 198.51.100.100: icmp_seq=258 ttl=51 time=32.1 ms
1240 bytes from 198.51.100.100: icmp_seq=264 ttl=51 time=44.2 ms
1240 bytes from 198.51.100.100: icmp_seq=266 ttl=51 time=36.3 ms
1240 bytes from 198.51.100.100: icmp_seq=268 ttl=51 time=36.0 ms
1240 bytes from 198.51.100.100: icmp_seq=273 ttl=51 time=45.2 ms
1240 bytes from 198.51.100.100: icmp_seq=274 ttl=51 time=23.0 ms
1240 bytes from 198.51.100.100: icmp_seq=275 ttl=51 time=24.9 ms
1240 bytes from 198.51.100.100: icmp_seq=276 ttl=51 time=32.7 ms
1240 bytes from 198.51.100.100: icmp_seq=277 ttl=51 time=172 ms
1240 bytes from 198.51.100.100: icmp_seq=278 ttl=51 time=44.0 ms
1240 bytes from 198.51.100.100: icmp_seq=279 ttl=51 time=27.2 ms
1240 bytes from 198.51.100.100: icmp_seq=283 ttl=51 time=55.9 ms
1240 bytes from 198.51.100.100: icmp_seq=288 ttl=51 time=38.5 ms
1240 bytes from 198.51.100.100: icmp_seq=294 ttl=51 time=47.7 ms
1240 bytes from 198.51.100.100: icmp_seq=297 ttl=51 time=26.5 ms
1240 bytes from 198.51.100.100: icmp_seq=301 ttl=51 time=47.0 ms
1240 bytes from 198.51.100.100: icmp_seq=302 ttl=51 time=49.5 ms
1240 bytes from 198.51.100.100: icmp_seq=303 ttl=51 time=28.6 ms
1240 bytes from 198.51.100.100: icmp_seq=304 ttl=51 time=32.1 ms
1240 bytes from 198.51.100.100: icmp_seq=306 ttl=51 time=56.8 ms
1240 bytes from 198.51.100.100: icmp_seq=309 ttl=51 time=56.2 ms
1240 bytes from 198.51.100.100: icmp_seq=311 ttl=51 time=71.1 ms
1240 bytes from 198.51.100.100: icmp_seq=318 ttl=51 time=238 ms
1240 bytes from 198.51.100.100: icmp_seq=322 ttl=51 time=28.1 ms
1240 bytes from 198.51.100.100: icmp_seq=324 ttl=51 time=25.5 ms
1240 bytes from 198.51.100.100: icmp_seq=325 ttl=51 time=74.4 ms
1240 bytes from 198.51.100.100: icmp_seq=326 ttl=51 time=87.7 ms
1240 bytes from 198.51.100.100: icmp_seq=327 ttl=51 time=110 ms
1240 bytes from 198.51.100.100: icmp_seq=329 ttl=51 time=55.8 ms
1240 bytes from 198.51.100.100: icmp_seq=330 ttl=51 time=70.4 ms
1240 bytes from 198.51.100.100: icmp_seq=336 ttl=51 time=26.7 ms
1240 bytes from 198.51.100.100: icmp_seq=343 ttl=51 time=212 ms
1240 bytes from 198.51.100.100: icmp_seq=344 ttl=51 time=231 ms
