PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.55: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.66)
From 192.168.10.55: icmp_seq=2 Redirect Host(New nexthop: 192.168.10.66)
From 192.168.10.55: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.66)
From 192.168.10.55: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.66)
From 192.168.10.66 icmp_seq=1 Destination Host Unreachable
From 192.168.10.66 icmp_seq=2 Destination Host Unreachable
From 192.168.10.66 icmp_seq=3 Destination Host Unreachable
From 192.168.10.66 icmp_seq=4 Destination Host Unreachable
From 192.168.10.55: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.66)
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=57 time=55.0 ms
From 192.168.10.55: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.66)
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=57 time=56.3 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=57 time=53.9 ms
From 192.168.10.55: icmp_seq=8 Redirect Host(New nexthop: 192.168.10.66)
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=57 time=48.7 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=57 time=49.6 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=57 time=66.8 ms
From 192.168.10.55: icmp_seq=11 Redirect Host(New nexthop: 192.168.10.66)
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=57 time=56.0 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=57 time=52.2 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=57 time=41.4 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=57 time=41.3 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=57 time=47.4 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=57 time=48.4 ms
From 192.168.10.55: icmp_seq=17 Redirect Host(New nexthop: 192.168.10.66)
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=57 time=41.4 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=57 time=36.9 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=57 time=34.4 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=57 time=96.3 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=57 time=32.9 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=57 time=42.3 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=57 time=30.8 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=57 time=38.0 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=57 time=46.4 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=57 time=31.1 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=57 time=32.1 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=57 time=32.8 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=57 time=45.2 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=57 time=39.7 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=57 time=33.4 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=57 time=89.1 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=57 time=33.9 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=57 time=40.7 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=57 time=40.6 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=57 time=31.8 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=57 time=36.6 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=57 time=31.9 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=57 time=43.8 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=57 time=36.9 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=57 time=44.9 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=57 time=30.7 ms
1240 bytes from 198.51.100.100: icmp_seq=43 ttl=57 time=37.3 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=57 time=37.7 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=57 time=36.4 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=57 time=30.0 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=57 time=22.4 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=57 time=32.3 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=57 time=44.7 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=57 time=20.6 ms
1240 bytes from 198.51.100.100: icmp_seq=51 ttl=57 time=24.9 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=57 time=20.0 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=57 time=20.0 ms
1240 bytes from 198.51.100.100: icmp_seq=54 ttl=57 time=20.4 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=57 time=14.7 ms
1240 bytes from 198.51.100.100: icmp_seq=56 ttl=57 time=25.2 ms
1240 bytes from 198.51.100.100: icmp_seq=57 ttl=57 time=21.5 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=57 time=14.5 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=57 time=28.6 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=57 time=13.7 ms
1240 bytes from 198.51.100.100: icmp_seq=61 ttl=57 time=15.1 ms
1240 bytes from 198.51.100.100: icmp_seq=62 ttl=57 time=21.0 ms
1240 bytes from 198.51.100.100: icmp_seq=63 ttl=57 time=14.4 ms
1240 bytes from 198.51.100.100: icmp_seq=64 ttl=57 time=15.3 ms
1240 bytes from 198.51.100.100: icmp_seq=65 ttl=57 time=14.6 ms
1240 bytes from 198.51.100.100: icmp_seq=66 ttl=57 time=16.3 ms
1240 bytes from 198.51.100.100: icmp_seq=67 ttl=57 time=17.4 ms
1240 bytes from 198.51.100.100: icmp_seq=68 ttl=57 time=14.9 ms
1240 bytes from 198.51.100.100: icmp_seq=69 ttl=57 time=24.7 ms
1240 bytes from 198.51.100.100: icmp_seq=70 ttl=57 time=13.1 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=57 time=22.7 ms
1240 bytes from 198.51.100.100: icmp_seq=72 ttl=57 time=16.2 ms
1240 bytes from 198.51.100.100: icmp_seq=73 ttl=57 time=13.5 ms
1240 bytes from 198.51.100.100: icmp_seq=74 ttl=57 time=24.0 ms
1240 bytes from 198.51.100.100: icmp_seq=75 ttl=57 time=63.4 ms
1240 bytes from 198.51.100.100: icmp_seq=76 ttl=57 time=33.2 ms
1240 bytes from 198.51.100.100: icmp_seq=77 ttl=57 time=25.9 ms
1240 bytes from 198.51.100.100: icmp_seq=78 ttl=57 time=14.6 ms
1240 bytes from 198.51.100.100: icmp_seq=79 ttl=57 time=22.6 ms
1240 bytes from 198.51.100.100: icmp_seq=80 ttl=57 time=12.7 ms
1240 bytes from 198.51.100.100: icmp_seq=81 ttl=57 time=12.8 ms
1240 bytes from 198.51.100.100: icmp_seq=82 ttl=57 time=20.2 ms
1240 bytes from 198.51.100.100: icmp_seq=83 ttl=57 time=12.9 ms
1240 bytes from 198.51.100.100: icmp_seq=84 ttl=57 time=13.7 ms
1240 bytes from 198.51.100.100: icmp_seq=85 ttl=57 time=22.4 ms
1240 bytes from 198.51.100.100: icmp_seq=86 ttl=57 time=12.5 ms
1240 bytes from 198.51.100.100: icmp_seq=87 ttl=57 time=25.7 ms
1240 bytes from 198.51.100.100: icmp_seq=88 ttl=57 time=26.3 ms
1240 bytes from 198.51.100.100: icmp_seq=89 ttl=57 time=13.9 ms
1240 bytes from 198.51.100.100: icmp_seq=90 ttl=57 time=26.1 ms
1240 bytes from 198.51.100.100: icmp_seq=91 ttl=57 time=18.9 ms
1240 bytes from 198.51.100.100: icmp_seq=92 ttl=57 time=12.8 ms
1240 bytes from 198.51.100.100: icmp_seq=93 ttl=57 time=12.9 ms
1240 bytes from 198.51.100.100: icmp_seq=94 ttl=57 time=16.2 ms
1240 bytes from 198.51.100.100: icmp_seq=95 ttl=57 time=22.7 ms
1240 bytes from 198.51.100.100: icmp_seq=96 ttl=57 time=19.8 ms
1240 bytes from 198.51.100.100: icmp_seq=97 ttl=57 time=13.7 ms
1240 bytes from 198.51.100.100: icmp_seq=98 ttl=57 time=14.4 ms
1240 bytes from 198.51.100.100: icmp_seq=99 ttl=57 time=14.1 ms
1240 bytes from 198.51.100.100: icmp_seq=100 ttl=57 time=12.0 ms
1240 bytes from 198.51.100.100: icmp_seq=101 ttl=57 time=12.9 ms
1240 bytes from 198.51.100.100: icmp_seq=102 ttl=57 time=13.1 ms
1240 bytes from 198.51.100.100: icmp_seq=103 ttl=57 time=15.0 ms
1240 bytes from 198.51.100.100: icmp_seq=104 ttl=57 time=16.5 ms
1240 bytes from 198.51.100.100: icmp_seq=105 ttl=57 time=19.3 ms
1240 bytes from 198.51.100.100: icmp_seq=106 ttl=57 time=13.5 ms
1240 bytes from 198.51.100.100: icmp_seq=107 ttl=57 time=12.6 ms
1240 bytes from 198.51.100.100: icmp_seq=108 ttl=57 time=13.9 ms
1240 bytes from 198.51.100.100: icmp_seq=109 ttl=57 time=15.5 ms
1240 bytes from 198.51.100.100: icmp_seq=110 ttl=57 time=13.8 ms
1240 bytes from 198.51.100.100: icmp_seq=111 ttl=57 time=18.9 ms
1240 bytes from 198.51.100.100: icmp_seq=112 ttl=57 time=58.6 ms
1240 bytes from 198.51.100.100: icmp_seq=113 ttl=57 time=33.5 ms
1240 bytes from 198.51.100.100: icmp_seq=114 ttl=57 time=26.3 ms
1240 bytes from 198.51.100.100: icmp_seq=115 ttl=57 time=37.0 ms
1240 bytes from 198.51.100.100: icmp_seq=116 ttl=57 time=108 ms
1240 bytes from 198.51.100.100: icmp_seq=117 ttl=57 time=27.6 ms
1240 bytes from 198.51.100.100: icmp_seq=118 ttl=57 time=55.4 ms
1240 bytes from 198.51.100.100: icmp_seq=119 ttl=57 time=13.3 ms
1240 bytes from 198.51.100.100: icmp_seq=120 ttl=57 time=14.1 ms

--- 198.51.100.100 ping statistics ---
120 packets transmitted, 116 received, +4 errors, 3.33333% packet loss, time 119339ms
rtt min/avg/max/mdev = 12.022/29.776/107.845/17.617 ms, pipe 4
