PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=274 ttl=51 time=34.7 ms
1240 bytes from 198.51.100.100: icmp_seq=287 ttl=51 time=61.7 ms
1240 bytes from 198.51.100.100: icmp_seq=290 ttl=51 time=62.4 ms
1240 bytes from 198.51.100.100: icmp_seq=292 ttl=51 time=26.3 ms
1240 bytes from 198.51.100.100: icmp_seq=295 ttl=51 time=30.5 ms
1240 bytes from 198.51.100.100: icmp_seq=296 ttl=51 time=41.2 ms

--- 198.51.100.100 ping statistics ---
300 packets transmitted, 85 received, 71.6667% packet loss, time 305568ms
rtt min/avg/max/mdev = 24.106/50.049/155.449/19.244 ms
