PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=1 ttl=57 time=17.9 ms
1240 bytes from 198.51.100.100: icmp_seq=2 ttl=57 time=18.4 ms
1240 bytes from 198.51.100.100: icmp_seq=3 ttl=57 time=21.4 ms
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=57 time=15.0 ms
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=57 time=24.8 ms
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=57 time=15.0 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=57 time=15.4 ms
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=57 time=14.9 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=57 time=22.2 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=57 time=14.0 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=57 time=158 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=57 time=191 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=57 time=103 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=57 time=160 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=57 time=46.3 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=57 time=88.9 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=57 time=29.4 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=57 time=15.9 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=57 time=13.0 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=57 time=15.2 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=57 time=13.3 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=57 time=204 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=57 time=72.5 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=57 time=124 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=57 time=35.5 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=57 time=183 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=57 time=29.3 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=57 time=23.2 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=57 time=101 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=57 time=70.6 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=57 time=119 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=57 time=50.3 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=57 time=79.5 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=57 time=15.4 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=57 time=13.6 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=57 time=15.8 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=57 time=27.0 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=57 time=45.8 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=57 time=46.6 ms
