PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=2 ttl=50 time=183 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=50 time=239 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=50 time=37.0 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=50 time=167 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=50 time=35.9 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=50 time=131 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=50 time=151 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=50 time=54.5 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=50 time=28.1 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=50 time=171 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=50 time=31.1 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=50 time=94.0 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=50 time=47.5 ms
1240 bytes from 198.51.100.100: icmp_seq=56 ttl=50 time=41.5 ms
1240 bytes from 198.51.100.100: icmp_seq=63 ttl=50 time=117 ms
1240 bytes from 198.51.100.100: icmp_seq=66 ttl=50 time=101 ms
1240 bytes from 198.51.100.100: icmp_seq=70 ttl=50 time=91.6 ms
1240 bytes from 198.51.100.100: icmp_seq=73 ttl=50 time=142 ms
1240 bytes from 198.51.100.100: icmp_seq=79 ttl=50 time=351 ms
1240 bytes from 198.51.100.100: icmp_seq=81 ttl=50 time=302 ms
1240 bytes from 198.51.100.100: icmp_seq=83 ttl=50 time=97.5 ms
1240 bytes from 198.51.100.100: icmp_seq=86 ttl=50 time=35.8 ms
1240 bytes from 198.51.100.100: icmp_seq=89 ttl=50 time=46.7 ms
1240 bytes from 198.51.100.100: icmp_seq=97 ttl=50 time=74.7 ms
1240 bytes from 198.51.100.100: icmp_seq=101 ttl=50 time=85.5 ms
1240 bytes from 198.51.100.100: icmp_seq=105 ttl=50 time=96.9 ms
1240 bytes from 198.51.100.100: icmp_seq=111 ttl=50 time=67.6 ms
1240 bytes from 198.51.100.100: icmp_seq=118 ttl=50 time=127 ms
1240 bytes from 198.51.100.100: icmp_seq=120 ttl=50 time=28.2 ms
1240 bytes from 198.51.100.100: icmp_seq=125 ttl=50 time=28.9 ms
1240 bytes from 198.51.100.100: icmp_seq=129 ttl=50 time=29.4 ms
1240 bytes from 198.51.100.100: icmp_seq=131 ttl=50 time=37.4 ms
1240 bytes from 198.51.100.100: icmp_seq=140 ttl=50 time=108 ms
1240 bytes from 198.51.100.100: icmp_seq=143 ttl=50 time=40.2 ms
1240 bytes from 198.51.100.100: icmp_seq=144 ttl=50 time=67.3 ms
1240 bytes from 198.51.100.100: icmp_seq=146 ttl=50 time=67.6 ms
1240 bytes from 198.51.100.100: icmp_seq=150 ttl=50 time=33.1 ms
1240 bytes from 198.51.100.100: icmp_seq=154 ttl=50 time=29.6 ms
1240 bytes from 198.51.100.100: icmp_seq=155 ttl=50 time=29.2 ms
1240 bytes from 198.51.100.100: icmp_seq=158 ttl=50 time=28.0 ms
1240 bytes from 198.51.100.100: icmp_seq=159 ttl=50 time=28.0 ms
1240 bytes from 198.51.100.100: icmp_seq=160 ttl=50 time=75.4 ms
1240 bytes from 198.51.100.100: icmp_seq=175 ttl=50 time=102 ms
1240 bytes from 198.51.100.100: icmp_seq=176 ttl=50 time=43.5 ms
1240 bytes from 198.51.100.100: icmp_seq=180 ttl=50 time=28.6 ms
1240 bytes from 198.51.100.100: icmp_seq=184 ttl=50 time=40.6 ms
1240 bytes from 198.51.100.100: icmp_seq=185 ttl=50 time=36.4 ms
1240 bytes from 198.51.100.100: icmp_seq=186 ttl=50 time=44.8 ms
1240 bytes from 198.51.100.100: icmp_seq=187 ttl=50 time=111 ms
1240 bytes from 198.51.100.100: icmp_seq=190 ttl=50 time=32.9 ms
1240 bytes from 198.51.100.100: icmp_seq=192 ttl=50 time=111 ms
1240 bytes from 198.51.100.100: icmp_seq=193 ttl=50 time=26.1 ms
1240 bytes from 198.51.100.100: icmp_seq=201 ttl=50 time=31.8 ms
1240 bytes from 198.51.100.100: icmp_seq=205 ttl=50 time=56.9 ms
1240 bytes from 198.51.100.100: icmp_seq=206 ttl=50 time=69.8 ms
1240 bytes from 198.51.100.100: icmp_seq=212 ttl=50 time=32.0 ms
1240 bytes from 198.51.100.100: icmp_seq=215 ttl=50 time=30.2 ms
1240 bytes from 198.51.100.100: icmp_seq=216 ttl=50 time=38.5 ms
1240 bytes from 198.51.100.100: icmp_seq=221 ttl=50 time=340 ms
1240 bytes from 198.51.100.100: icmp_seq=222 ttl=50 time=513 ms
1240 bytes from 198.51.100.100: icmp_seq=223 ttl=50 time=331 ms
1240 bytes from 198.51.100.100: icmp_seq=225 ttl=50 time=244 ms
1240 bytes from 198.51.100.100: icmp_seq=245 ttl=50 time=140 ms
1240 bytes from 198.51.100.100: icmp_seq=246 ttl=50 time=123 ms
1240 bytes from 198.51.100.100: icmp_seq=248 ttl=50 time=111 ms
1240 bytes from 198.51.100.100: icmp_seq=251 ttl=50 time=630 ms
1240 bytes from 198.51.100.100: icmp_seq=252 ttl=50 time=154 ms
1240 bytes from 198.51.100.100: icmp_seq=255 ttl=50 time=109 ms
1240 bytes from 198.51.100.100: icmp_seq=256 ttl=50 time=135 ms
1240 bytes from 198.51.100.100: icmp_seq=258 ttl=50 time=60.2 ms
1240 bytes from 198.51.100.100: icmp_seq=262 ttl=50 time=129 ms
