PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=1 ttl=61 time=10.3 ms
1240 bytes from 198.51.100.100: icmp_seq=2 ttl=61 time=12.8 ms
1240 bytes from 198.51.100.100: icmp_seq=3 ttl=61 time=11.2 ms
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=61 time=11.7 ms
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=61 time=20.5 ms
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=61 time=10.8 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=61 time=10.8 ms
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=61 time=10.4 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=61 time=10.1 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=61 time=9.17 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=61 time=10.3 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=61 time=10.2 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=61 time=10.6 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=61 time=11.0 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=61 time=10.2 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=61 time=17.6 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=61 time=11.7 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=61 time=12.2 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=61 time=7.78 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=61 time=8.78 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=61 time=9.61 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=61 time=9.68 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=61 time=12.6 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=61 time=9.49 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=61 time=11.7 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=61 time=11.1 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=61 time=13.8 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=61 time=11.1 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=61 time=7.81 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=61 time=8.78 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=61 time=9.84 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=61 time=11.9 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=61 time=12.6 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=61 time=10.6 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=61 time=17.4 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=61 time=16.2 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=61 time=9.00 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=61 time=7.77 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=61 time=8.60 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=61 time=8.28 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=61 time=8.75 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=61 time=7.87 ms
1240 bytes from 198.51.100.100: icmp_seq=43 ttl=61 time=12.3 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=61 time=10.6 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=61 time=8.72 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=61 time=7.88 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=61 time=10.7 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=61 time=8.09 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=61 time=9.53 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=61 time=8.07 ms
1240 bytes from 198.51.100.100: icmp_seq=51 ttl=61 time=8.58 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=61 time=9.03 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=61 time=7.82 ms
1240 bytes from 198.51.100.100: icmp_seq=54 ttl=61 time=12.3 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=61 time=8.74 ms
1240 bytes from 198.51.100.100: icmp_seq=56 ttl=61 time=11.2 ms
1240 bytes from 198.51.100.100: icmp_seq=57 ttl=61 time=21.7 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=61 time=27.7 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=61 time=8.83 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=61 time=9.13 ms

--- 198.51.100.100 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59663ms
rtt min/avg/max/mdev = 7.772/11.061/27.703/3.593 ms
