PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=2 ttl=51 time=56.0 ms
1240 bytes from 198.51.100.100: icmp_seq=3 ttl=51 time=54.7 ms
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=51 time=30.4 ms
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=51 time=31.6 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=51 time=36.4 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=51 time=49.5 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=51 time=56.5 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=51 time=56.5 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=51 time=49.0 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=51 time=24.1 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=51 time=28.2 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=51 time=38.1 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=51 time=49.8 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=51 time=48.5 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=51 time=54.0 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=51 time=56.4 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=51 time=56.9 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=51 time=48.9 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=51 time=52.3 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=51 time=26.5 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=51 time=31.0 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=51 time=267 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=51 time=23.8 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=51 time=46.4 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=51 time=27.7 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=51 time=49.9 ms
1240 bytes from 198.51.100.100: icmp_seq=43 ttl=51 time=23.4 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=51 time=24.8 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=51 time=33.0 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=51 time=52.5 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=51 time=54.8 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=51 time=51.2 ms
1240 bytes from 198.51.100.100: icmp_seq=51 ttl=51 time=28.3 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=51 time=24.2 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=51 time=60.2 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=51 time=53.3 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=51 time=28.0 ms
1240 bytes from 198.51.100.100: icmp_seq=61 ttl=51 time=23.7 ms
1240 bytes from 198.51.100.100: icmp_seq=63 ttl=51 time=40.8 ms
1240 bytes from 198.51.100.100: icmp_seq=66 ttl=51 time=49.5 ms
1240 bytes from 198.51.100.100: icmp_seq=68 ttl=51 time=27.7 ms
1240 bytes from 198.51.100.100: icmp_seq=69 ttl=51 time=26.9 ms
1240 bytes from 198.51.100.100: icmp_seq=70 ttl=51 time=44.3 ms
1240 bytes from 198.51.100.100: icmp_seq=73 ttl=51 time=53.5 ms
1240 bytes from 198.51.100.100: icmp_seq=74 ttl=51 time=50.6 ms
1240 bytes from 198.51.100.100: icmp_seq=76 ttl=51 time=33.4 ms
1240 bytes from 198.51.100.100: icmp_seq=77 ttl=51 time=24.8 ms
1240 bytes from 198.51.100.100: icmp_seq=79 ttl=51 time=31.5 ms
1240 bytes from 198.51.100.100: icmp_seq=82 ttl=51 time=62.2 ms
1240 bytes from 198.51.100.100: icmp_seq=83 ttl=51 time=51.9 ms
1240 bytes from 198.51.100.100: icmp_seq=86 ttl=51 time=55.4 ms
1240 bytes from 198.51.100.100: icmp_seq=91 ttl=51 time=57.5 ms
1240 bytes from 198.51.100.100: icmp_seq=100 ttl=51 time=54.9 ms
1240 bytes from 198.51.100.100: icmp_seq=101 ttl=51 time=52.2 ms
1240 bytes from 198.51.100.100: icmp_seq=102 ttl=51 time=31.8 ms
1240 bytes from 198.51.100.100: icmp_seq=104 ttl=51 time=36.4 ms
1240 bytes from 198.51.100.100: icmp_seq=109 ttl=51 time=53.6 ms
