PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=1 ttl=59 time=10.5 ms
1240 bytes from 198.51.100.100: icmp_seq=2 ttl=59 time=8.89 ms
1240 bytes from 198.51.100.100: icmp_seq=3 ttl=59 time=9.78 ms
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=59 time=9.46 ms
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=59 time=8.77 ms
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=59 time=21.4 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=59 time=15.6 ms
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=59 time=9.77 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=59 time=10.7 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=59 time=9.69 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=59 time=9.67 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=59 time=11.7 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=59 time=9.69 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=59 time=9.72 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=59 time=12.7 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=59 time=11.2 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=59 time=8.90 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=59 time=14.7 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=59 time=9.70 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=59 time=8.78 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=59 time=10.7 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=59 time=9.74 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=59 time=9.71 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=59 time=11.8 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=59 time=9.80 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=59 time=13.7 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=59 time=9.62 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=59 time=8.80 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=59 time=8.69 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=59 time=11.7 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=59 time=8.75 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=59 time=8.69 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=59 time=9.81 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=59 time=8.80 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=59 time=12.6 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=59 time=9.71 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=59 time=8.74 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=59 time=10.8 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=59 time=11.7 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=59 time=14.6 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=59 time=15.7 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=59 time=8.74 ms
1240 bytes from 198.51.100.100: icmp_seq=43 ttl=59 time=11.7 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=59 time=9.71 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=59 time=12.8 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=59 time=12.7 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=59 time=8.75 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=59 time=9.74 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=59 time=11.7 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=59 time=9.19 ms
1240 bytes from 198.51.100.100: icmp_seq=51 ttl=59 time=8.77 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=59 time=8.66 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=59 time=12.7 ms
1240 bytes from 198.51.100.100: icmp_seq=54 ttl=59 time=13.7 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=59 time=8.79 ms
1240 bytes from 198.51.100.100: icmp_seq=56 ttl=59 time=15.0 ms
1240 bytes from 198.51.100.100: icmp_seq=57 ttl=59 time=8.74 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=59 time=16.6 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=59 time=19.5 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=59 time=9.74 ms

--- 198.51.100.100 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59132ms
rtt min/avg/max/mdev = 8.662/11.046/21.446/2.714 ms
