PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=1 ttl=51 time=48.5 ms
1240 bytes from 198.51.100.100: icmp_seq=2 ttl=51 time=230 ms
1240 bytes from 198.51.100.100: icmp_seq=3 ttl=51 time=227 ms
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=51 time=162 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=51 time=51.8 ms
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=51 time=25.7 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=51 time=76.2 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=51 time=24.3 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=51 time=26.3 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=51 time=31.5 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=51 time=57.6 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=51 time=55.9 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=51 time=38.2 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=51 time=29.2 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=51 time=41.2 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=51 time=48.9 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=51 time=25.9 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=51 time=31.9 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=51 time=52.0 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=51 time=58.3 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=51 time=53.3 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=51 time=52.2 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=51 time=28.9 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=51 time=25.7 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=51 time=28.6 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=51 time=54.5 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=51 time=49.8 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=51 time=68.4 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=51 time=49.8 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=51 time=24.5 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=51 time=28.2 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=51 time=36.8 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=51 time=48.7 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=51 time=53.5 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=51 time=24.9 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=51 time=23.1 ms
1240 bytes from 198.51.100.100: icmp_seq=51 ttl=51 time=29.0 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=51 time=56.8 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=51 time=48.0 ms
1240 bytes from 198.51.100.100: icmp_seq=54 ttl=51 time=25.0 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=51 time=24.8 ms
1240 bytes from 198.51.100.100: icmp_seq=56 ttl=51 time=33.4 ms
1240 bytes from 198.51.100.100: icmp_seq=57 ttl=51 time=50.8 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=51 time=52.3 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=51 time=64.7 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=51 time=54.5 ms
1240 bytes from 198.51.100.100: icmp_seq=61 ttl=51 time=35.2 ms
1240 bytes from 198.51.100.100: icmp_seq=62 ttl=51 time=42.3 ms
1240 bytes from 198.51.100.100: icmp_seq=63 ttl=51 time=39.8 ms
1240 bytes from 198.51.100.100: icmp_seq=64 ttl=51 time=53.5 ms
1240 bytes from 198.51.100.100: icmp_seq=65 ttl=51 time=27.5 ms
1240 bytes from 198.51.100.100: icmp_seq=66 ttl=51 time=26.7 ms
1240 bytes from 198.51.100.100: icmp_seq=67 ttl=51 time=30.2 ms
1240 bytes from 198.51.100.100: icmp_seq=68 ttl=51 time=39.8 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=51 time=61.3 ms
1240 bytes from 198.51.100.100: icmp_seq=72 ttl=51 time=62.3 ms
1240 bytes from 198.51.100.100: icmp_seq=73 ttl=51 time=31.5 ms
1240 bytes from 198.51.100.100: icmp_seq=74 ttl=51 time=36.2 ms
1240 bytes from 198.51.100.100: icmp_seq=75 ttl=51 time=28.1 ms
1240 bytes from 198.51.100.100: icmp_seq=76 ttl=51 time=53.4 ms
1240 bytes from 198.51.100.100: icmp_seq=77 ttl=51 time=56.0 ms
1240 bytes from 198.51.100.100: icmp_seq=78 ttl=51 time=50.7 ms
