PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=1 ttl=50 time=121 ms
1240 bytes from 198.51.100.100: icmp_seq=3 ttl=50 time=32.3 ms
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=50 time=33.2 ms
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=50 time=27.5 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=50 time=31.8 ms
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=50 time=28.7 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=50 time=25.8 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=50 time=25.9 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=50 time=26.4 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=50 time=27.1 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=50 time=27.9 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=50 time=41.6 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=50 time=200 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=50 time=33.9 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=50 time=33.2 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=50 time=98.7 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=50 time=67.3 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=50 time=42.4 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=50 time=41.1 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=50 time=27.3 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=50 time=70.1 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=50 time=32.2 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=50 time=106 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=50 time=25.4 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=50 time=31.3 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=50 time=27.0 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=50 time=29.4 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=50 time=26.8 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=50 time=26.0 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=50 time=30.8 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=50 time=3074 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=50 time=3185 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=50 time=3084 ms
1240 bytes from 198.51.100.100: icmp_seq=63 ttl=50 time=466 ms
1240 bytes from 198.51.100.100: icmp_seq=64 ttl=50 time=539 ms
1240 bytes from 198.51.100.100: icmp_seq=66 ttl=50 time=29.3 ms
1240 bytes from 198.51.100.100: icmp_seq=67 ttl=50 time=27.2 ms
1240 bytes from 198.51.100.100: icmp_seq=69 ttl=50 time=31.2 ms
1240 bytes from 198.51.100.100: icmp_seq=70 ttl=50 time=31.3 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=50 time=26.3 ms
1240 bytes from 198.51.100.100: icmp_seq=76 ttl=50 time=3009 ms
1240 bytes from 198.51.100.100: icmp_seq=77 ttl=50 time=2004 ms
1240 bytes from 198.51.100.100: icmp_seq=81 ttl=50 time=261 ms
1240 bytes from 198.51.100.100: icmp_seq=82 ttl=50 time=686 ms
1240 bytes from 198.51.100.100: icmp_seq=83 ttl=50 time=327 ms
1240 bytes from 198.51.100.100: icmp_seq=85 ttl=50 time=24.6 ms
1240 bytes from 198.51.100.100: icmp_seq=86 ttl=50 time=81.5 ms
1240 bytes from 198.51.100.100: icmp_seq=90 ttl=50 time=88.0 ms
1240 bytes from 198.51.100.100: icmp_seq=91 ttl=50 time=27.8 ms
1240 bytes from 198.51.100.100: icmp_seq=93 ttl=50 time=30.9 ms
1240 bytes from 198.51.100.100: icmp_seq=96 ttl=50 time=30.3 ms
1240 bytes from 198.51.100.100: icmp_seq=97 ttl=50 time=34.4 ms
1240 bytes from 198.51.100.100: icmp_seq=101 ttl=50 time=26.0 ms
1240 bytes from 198.51.100.100: icmp_seq=102 ttl=50 time=28.9 ms
1240 bytes from 198.51.100.100: icmp_seq=103 ttl=50 time=29.3 ms
1240 bytes from 198.51.100.100: icmp_seq=104 ttl=50 time=28.1 ms
1240 bytes from 198.51.100.100: icmp_seq=106 ttl=50 time=28.0 ms
1240 bytes from 198.51.100.100: icmp_seq=107 ttl=50 time=82.3 ms
1240 bytes from 198.51.100.100: icmp_seq=108 ttl=50 time=65.7 ms
1240 bytes from 198.51.100.100: icmp_seq=109 ttl=50 time=90.2 ms
1240 bytes from 198.51.100.100: icmp_seq=111 ttl=50 time=92.0 ms
