PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=1 ttl=57 time=13.5 ms
1240 bytes from 198.51.100.100: icmp_seq=2 ttl=57 time=13.6 ms
1240 bytes from 198.51.100.100: icmp_seq=3 ttl=57 time=12.6 ms
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=57 time=21.2 ms
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=57 time=23.1 ms
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=57 time=17.6 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=57 time=13.7 ms
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=57 time=19.5 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=57 time=13.5 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=57 time=13.0 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=57 time=13.6 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=57 time=12.7 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=57 time=18.2 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=57 time=23.6 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=57 time=14.3 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=57 time=13.1 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=57 time=16.6 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=57 time=14.8 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=57 time=19.6 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=57 time=14.4 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=57 time=15.4 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=57 time=14.7 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=57 time=22.5 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=57 time=18.9 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=57 time=16.5 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=57 time=14.0 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=57 time=14.4 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=57 time=14.1 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=57 time=13.1 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=57 time=14.0 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=57 time=13.3 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=57 time=12.6 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=57 time=22.4 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=57 time=14.6 ms
