PING 2006::4f5:6ea6:1a63:bda3(2006::4f5:6ea6:1a63:bda3) 1232 data bytes
From 2001::1 icmp_seq=4 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=5 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=6 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=7 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=8 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=9 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=10 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=11 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=12 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=13 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=14 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=15 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=16 Destination unreachable: Address unreachable
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=70 ttl=41 time=3.14 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=71 ttl=41 time=2.89 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=72 ttl=41 time=2.77 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=73 ttl=41 time=2.77 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=74 ttl=41 time=3.18 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=75 ttl=41 time=3.05 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=76 ttl=41 time=3.05 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=77 ttl=41 time=2.81 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=78 ttl=41 time=3.07 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=79 ttl=41 time=2.94 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=80 ttl=41 time=2.75 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=81 ttl=41 time=2.91 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=82 ttl=41 time=2.78 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=83 ttl=41 time=3.27 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=84 ttl=41 time=3.80 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=85 ttl=41 time=2.96 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=86 ttl=41 time=2.95 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=87 ttl=41 time=3.41 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=88 ttl=41 time=3.02 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=89 ttl=41 time=2.82 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=90 ttl=41 time=2.92 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=91 ttl=41 time=2.98 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=92 ttl=41 time=2.97 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=93 ttl=41 time=3.06 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=94 ttl=41 time=3.04 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=95 ttl=41 time=3.04 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=96 ttl=41 time=2.82 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=97 ttl=41 time=2.92 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=98 ttl=41 time=2.87 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=99 ttl=41 time=2.93 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=100 ttl=41 time=2.99 ms

--- 2006::4f5:6ea6:1a63:bda3 ping statistics ---
100 packets transmitted, 83 received, +14 errors, 17% packet loss, time 99964ms
rtt min/avg/max/mdev = 2.748/3.020/3.800/0.169 ms
