PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=1 ttl=51 time=92.4 ms
1240 bytes from 198.51.100.100: icmp_seq=2 ttl=51 time=32.2 ms
1240 bytes from 198.51.100.100: icmp_seq=3 ttl=51 time=31.2 ms
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=51 time=29.3 ms
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=51 time=37.0 ms
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=51 time=66.4 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=51 time=116 ms
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=51 time=89.3 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=51 time=76.9 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=51 time=111 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=51 time=75.6 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=51 time=27.4 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=51 time=34.2 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=51 time=34.4 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=51 time=85.9 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=51 time=29.4 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=51 time=188 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=51 time=105 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=51 time=26.4 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=51 time=28.5 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=51 time=60.4 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=51 time=159 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=51 time=84.2 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=51 time=25.9 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=51 time=25.0 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=51 time=32.6 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=51 time=28.0 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=51 time=83.2 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=51 time=28.1 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=51 time=64.8 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=51 time=29.3 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=51 time=26.7 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=51 time=25.8 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=51 time=36.0 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=51 time=50.4 ms
1240 bytes from 198.51.100.100: icmp_seq=43 ttl=51 time=32.7 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=51 time=23.8 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=51 time=67.8 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=51 time=30.7 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=51 time=26.2 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=51 time=180 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=51 time=83.7 ms
1240 bytes from 198.51.100.100: icmp_seq=51 ttl=51 time=38.5 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=51 time=30.0 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=51 time=29.1 ms
1240 bytes from 198.51.100.100: icmp_seq=54 ttl=51 time=81.4 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=51 time=30.0 ms
1240 bytes from 198.51.100.100: icmp_seq=56 ttl=51 time=26.8 ms
1240 bytes from 198.51.100.100: icmp_seq=57 ttl=51 time=26.8 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=51 time=24.5 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=51 time=27.2 ms
1240 bytes from 198.51.100.100: icmp_seq=61 ttl=51 time=25.4 ms
1240 bytes from 198.51.100.100: icmp_seq=62 ttl=51 time=25.4 ms
1240 bytes from 198.51.100.100: icmp_seq=63 ttl=51 time=62.5 ms
1240 bytes from 198.51.100.100: icmp_seq=64 ttl=51 time=29.7 ms
1240 bytes from 198.51.100.100: icmp_seq=65 ttl=51 time=24.9 ms
1240 bytes from 198.51.100.100: icmp_seq=66 ttl=51 time=153 ms
1240 bytes from 198.51.100.100: icmp_seq=67 ttl=51 time=314 ms
1240 bytes from 198.51.100.100: icmp_seq=68 ttl=51 time=28.6 ms
1240 bytes from 198.51.100.100: icmp_seq=69 ttl=51 time=28.0 ms
1240 bytes from 198.51.100.100: icmp_seq=70 ttl=51 time=23.2 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=51 time=29.4 ms
1240 bytes from 198.51.100.100: icmp_seq=72 ttl=51 time=61.9 ms
1240 bytes from 198.51.100.100: icmp_seq=73 ttl=51 time=27.5 ms
1240 bytes from 198.51.100.100: icmp_seq=74 ttl=51 time=40.2 ms
1240 bytes from 198.51.100.100: icmp_seq=75 ttl=51 time=26.4 ms
1240 bytes from 198.51.100.100: icmp_seq=76 ttl=51 time=31.9 ms
1240 bytes from 198.51.100.100: icmp_seq=77 ttl=51 time=61.9 ms
1240 bytes from 198.51.100.100: icmp_seq=78 ttl=51 time=28.1 ms
1240 bytes from 198.51.100.100: icmp_seq=79 ttl=51 time=24.9 ms
1240 bytes from 198.51.100.100: icmp_seq=80 ttl=51 time=26.0 ms
1240 bytes from 198.51.100.100: icmp_seq=81 ttl=51 time=30.3 ms
1240 bytes from 198.51.100.100: icmp_seq=82 ttl=51 time=78.7 ms
1240 bytes from 198.51.100.100: icmp_seq=83 ttl=51 time=32.8 ms
1240 bytes from 198.51.100.100: icmp_seq=84 ttl=51 time=34.0 ms
1240 bytes from 198.51.100.100: icmp_seq=85 ttl=51 time=26.8 ms
1240 bytes from 198.51.100.100: icmp_seq=86 ttl=51 time=125 ms
1240 bytes from 198.51.100.100: icmp_seq=87 ttl=51 time=37.7 ms
1240 bytes from 198.51.100.100: icmp_seq=88 ttl=51 time=71.4 ms
1240 bytes from 198.51.100.100: icmp_seq=89 ttl=51 time=74.8 ms
1240 bytes from 198.51.100.100: icmp_seq=90 ttl=51 time=53.1 ms
