PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=1 ttl=51 time=38.3 ms
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=51 time=24.4 ms
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=51 time=91.9 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=51 time=58.7 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=51 time=26.9 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=51 time=51.3 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=51 time=40.6 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=51 time=54.4 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=51 time=31.7 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=51 time=43.7 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=51 time=34.6 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=51 time=47.8 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=51 time=54.8 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=51 time=27.4 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=51 time=31.3 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=51 time=52.4 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=51 time=25.0 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=51 time=27.8 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=51 time=49.5 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=51 time=52.0 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=51 time=30.3 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=51 time=25.3 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=51 time=34.5 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=51 time=56.2 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=51 time=26.2 ms
1240 bytes from 198.51.100.100: icmp_seq=43 ttl=51 time=57.6 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=51 time=30.6 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=51 time=50.0 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=51 time=103 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=51 time=58.2 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=51 time=52.5 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=51 time=27.7 ms
1240 bytes from 198.51.100.100: icmp_seq=54 ttl=51 time=28.5 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=51 time=36.9 ms
1240 bytes from 198.51.100.100: icmp_seq=56 ttl=51 time=49.8 ms
1240 bytes from 198.51.100.100: icmp_seq=57 ttl=51 time=59.1 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=51 time=49.5 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=51 time=48.2 ms
1240 bytes from 198.51.100.100: icmp_seq=64 ttl=51 time=49.4 ms
1240 bytes from 198.51.100.100: icmp_seq=65 ttl=51 time=107 ms
1240 bytes from 198.51.100.100: icmp_seq=67 ttl=51 time=51.7 ms
1240 bytes from 198.51.100.100: icmp_seq=68 ttl=51 time=54.4 ms
1240 bytes from 198.51.100.100: icmp_seq=69 ttl=51 time=47.7 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=51 time=52.2 ms
1240 bytes from 198.51.100.100: icmp_seq=72 ttl=51 time=49.0 ms
1240 bytes from 198.51.100.100: icmp_seq=73 ttl=51 time=59.3 ms
1240 bytes from 198.51.100.100: icmp_seq=76 ttl=51 time=27.2 ms
1240 bytes from 198.51.100.100: icmp_seq=77 ttl=51 time=27.3 ms
1240 bytes from 198.51.100.100: icmp_seq=79 ttl=51 time=176 ms
1240 bytes from 198.51.100.100: icmp_seq=80 ttl=51 time=48.4 ms
1240 bytes from 198.51.100.100: icmp_seq=81 ttl=51 time=61.4 ms
1240 bytes from 198.51.100.100: icmp_seq=82 ttl=51 time=322 ms
1240 bytes from 198.51.100.100: icmp_seq=84 ttl=51 time=54.9 ms
1240 bytes from 198.51.100.100: icmp_seq=85 ttl=51 time=57.5 ms
1240 bytes from 198.51.100.100: icmp_seq=89 ttl=51 time=54.9 ms
1240 bytes from 198.51.100.100: icmp_seq=95 ttl=51 time=61.2 ms
1240 bytes from 198.51.100.100: icmp_seq=99 ttl=51 time=52.3 ms
1240 bytes from 198.51.100.100: icmp_seq=100 ttl=51 time=107 ms
1240 bytes from 198.51.100.100: icmp_seq=101 ttl=51 time=25.7 ms
1240 bytes from 198.51.100.100: icmp_seq=102 ttl=51 time=24.3 ms
1240 bytes from 198.51.100.100: icmp_seq=104 ttl=51 time=83.4 ms
1240 bytes from 198.51.100.100: icmp_seq=105 ttl=51 time=27.2 ms
1240 bytes from 198.51.100.100: icmp_seq=107 ttl=51 time=53.6 ms
1240 bytes from 198.51.100.100: icmp_seq=108 ttl=51 time=51.3 ms
1240 bytes from 198.51.100.100: icmp_seq=109 ttl=51 time=33.1 ms
1240 bytes from 198.51.100.100: icmp_seq=110 ttl=51 time=24.5 ms
1240 bytes from 198.51.100.100: icmp_seq=111 ttl=51 time=40.3 ms
1240 bytes from 198.51.100.100: icmp_seq=112 ttl=51 time=50.8 ms
1240 bytes from 198.51.100.100: icmp_seq=113 ttl=51 time=52.3 ms
1240 bytes from 198.51.100.100: icmp_seq=114 ttl=51 time=105 ms
1240 bytes from 198.51.100.100: icmp_seq=115 ttl=51 time=61.8 ms
1240 bytes from 198.51.100.100: icmp_seq=118 ttl=51 time=52.7 ms
1240 bytes from 198.51.100.100: icmp_seq=119 ttl=51 time=49.2 ms
1240 bytes from 198.51.100.100: icmp_seq=120 ttl=51 time=25.9 ms
1240 bytes from 198.51.100.100: icmp_seq=121 ttl=51 time=29.6 ms
1240 bytes from 198.51.100.100: icmp_seq=122 ttl=51 time=26.2 ms
1240 bytes from 198.51.100.100: icmp_seq=124 ttl=51 time=43.9 ms
1240 bytes from 198.51.100.100: icmp_seq=125 ttl=51 time=47.4 ms
1240 bytes from 198.51.100.100: icmp_seq=126 ttl=51 time=24.5 ms
1240 bytes from 198.51.100.100: icmp_seq=128 ttl=51 time=26.5 ms
1240 bytes from 198.51.100.100: icmp_seq=129 ttl=51 time=32.9 ms
1240 bytes from 198.51.100.100: icmp_seq=130 ttl=51 time=55.1 ms
1240 bytes from 198.51.100.100: icmp_seq=131 ttl=51 time=57.8 ms
1240 bytes from 198.51.100.100: icmp_seq=132 ttl=51 time=25.6 ms
1240 bytes from 198.51.100.100: icmp_seq=138 ttl=51 time=60.6 ms
1240 bytes from 198.51.100.100: icmp_seq=140 ttl=51 time=52.8 ms
1240 bytes from 198.51.100.100: icmp_seq=141 ttl=51 time=60.1 ms
1240 bytes from 198.51.100.100: icmp_seq=142 ttl=51 time=52.1 ms
