PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.22: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.66 icmp_seq=1 Destination Host Unreachable
From 192.168.10.66 icmp_seq=2 Destination Host Unreachable
From 192.168.10.66 icmp_seq=4 Destination Host Unreachable
From 192.168.10.66 icmp_seq=5 Destination Host Unreachable
From 192.168.10.22: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=51 time=129 ms
From 192.168.10.22: icmp_seq=7 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=51 time=120 ms
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=51 time=126 ms
From 192.168.10.22: icmp_seq=9 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=51 time=110 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=51 time=109 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=51 time=90.6 ms
From 192.168.10.22: icmp_seq=12 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=51 time=75.1 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=51 time=98.2 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=51 time=94.1 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=51 time=71.5 ms
From 192.168.10.22: icmp_seq=18 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=51 time=78.1 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=51 time=93.9 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=51 time=77.3 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=51 time=62.5 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=51 time=65.4 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=51 time=92.9 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=51 time=80.4 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=51 time=97.1 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=51 time=90.9 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=51 time=87.8 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=51 time=113 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=51 time=98.7 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=51 time=89.7 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=51 time=147 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=51 time=62.9 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=51 time=70.5 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=51 time=80.6 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=51 time=77.5 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=51 time=79.8 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=51 time=100.0 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=51 time=67.4 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=51 time=78.9 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=51 time=69.4 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=51 time=72.3 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=51 time=69.7 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=51 time=70.7 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=51 time=119 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=51 time=52.0 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=51 time=62.7 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=51 time=75.1 ms
1240 bytes from 198.51.100.100: icmp_seq=51 ttl=51 time=62.7 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=51 time=58.6 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=51 time=37.0 ms
1240 bytes from 198.51.100.100: icmp_seq=54 ttl=51 time=35.7 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=51 time=51.1 ms
1240 bytes from 198.51.100.100: icmp_seq=56 ttl=51 time=67.6 ms
1240 bytes from 198.51.100.100: icmp_seq=57 ttl=51 time=69.5 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=51 time=35.9 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=51 time=57.2 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=51 time=52.7 ms
1240 bytes from 198.51.100.100: icmp_seq=61 ttl=51 time=67.7 ms
1240 bytes from 198.51.100.100: icmp_seq=62 ttl=51 time=62.3 ms
1240 bytes from 198.51.100.100: icmp_seq=64 ttl=51 time=69.2 ms
1240 bytes from 198.51.100.100: icmp_seq=65 ttl=51 time=64.5 ms
1240 bytes from 198.51.100.100: icmp_seq=66 ttl=51 time=44.5 ms
1240 bytes from 198.51.100.100: icmp_seq=67 ttl=51 time=40.6 ms
1240 bytes from 198.51.100.100: icmp_seq=69 ttl=51 time=57.2 ms
1240 bytes from 198.51.100.100: icmp_seq=70 ttl=51 time=57.2 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=51 time=36.7 ms
1240 bytes from 198.51.100.100: icmp_seq=72 ttl=51 time=27.3 ms
1240 bytes from 198.51.100.100: icmp_seq=73 ttl=51 time=45.7 ms
1240 bytes from 198.51.100.100: icmp_seq=75 ttl=51 time=56.0 ms
1240 bytes from 198.51.100.100: icmp_seq=76 ttl=51 time=69.3 ms
1240 bytes from 198.51.100.100: icmp_seq=77 ttl=51 time=33.2 ms
1240 bytes from 198.51.100.100: icmp_seq=78 ttl=51 time=32.3 ms
1240 bytes from 198.51.100.100: icmp_seq=79 ttl=51 time=59.9 ms
1240 bytes from 198.51.100.100: icmp_seq=80 ttl=51 time=48.7 ms
1240 bytes from 198.51.100.100: icmp_seq=81 ttl=51 time=139 ms
1240 bytes from 198.51.100.100: icmp_seq=83 ttl=51 time=62.9 ms
1240 bytes from 198.51.100.100: icmp_seq=84 ttl=51 time=53.5 ms
1240 bytes from 198.51.100.100: icmp_seq=85 ttl=51 time=35.4 ms
1240 bytes from 198.51.100.100: icmp_seq=86 ttl=51 time=43.2 ms
1240 bytes from 198.51.100.100: icmp_seq=87 ttl=51 time=44.7 ms
1240 bytes from 198.51.100.100: icmp_seq=88 ttl=51 time=57.1 ms
1240 bytes from 198.51.100.100: icmp_seq=89 ttl=51 time=52.7 ms
1240 bytes from 198.51.100.100: icmp_seq=90 ttl=51 time=25.3 ms
1240 bytes from 198.51.100.100: icmp_seq=92 ttl=51 time=36.8 ms
1240 bytes from 198.51.100.100: icmp_seq=93 ttl=51 time=54.6 ms
1240 bytes from 198.51.100.100: icmp_seq=94 ttl=51 time=27.2 ms
1240 bytes from 198.51.100.100: icmp_seq=95 ttl=51 time=31.6 ms
1240 bytes from 198.51.100.100: icmp_seq=98 ttl=51 time=27.1 ms
1240 bytes from 198.51.100.100: icmp_seq=100 ttl=51 time=50.4 ms
1240 bytes from 198.51.100.100: icmp_seq=102 ttl=51 time=51.8 ms
1240 bytes from 198.51.100.100: icmp_seq=103 ttl=51 time=50.7 ms
1240 bytes from 198.51.100.100: icmp_seq=104 ttl=51 time=122 ms
1240 bytes from 198.51.100.100: icmp_seq=105 ttl=51 time=32.3 ms
1240 bytes from 198.51.100.100: icmp_seq=106 ttl=51 time=31.0 ms
1240 bytes from 198.51.100.100: icmp_seq=107 ttl=51 time=45.3 ms
1240 bytes from 198.51.100.100: icmp_seq=108 ttl=51 time=55.8 ms
1240 bytes from 198.51.100.100: icmp_seq=109 ttl=51 time=26.5 ms
1240 bytes from 198.51.100.100: icmp_seq=110 ttl=51 time=26.6 ms
1240 bytes from 198.51.100.100: icmp_seq=111 ttl=51 time=26.0 ms
1240 bytes from 198.51.100.100: icmp_seq=112 ttl=51 time=58.7 ms
1240 bytes from 198.51.100.100: icmp_seq=114 ttl=51 time=26.3 ms
1240 bytes from 198.51.100.100: icmp_seq=115 ttl=51 time=27.2 ms
1240 bytes from 198.51.100.100: icmp_seq=116 ttl=51 time=31.4 ms
1240 bytes from 198.51.100.100: icmp_seq=117 ttl=51 time=45.4 ms
1240 bytes from 198.51.100.100: icmp_seq=118 ttl=51 time=52.7 ms
1240 bytes from 198.51.100.100: icmp_seq=119 ttl=51 time=23.7 ms
1240 bytes from 198.51.100.100: icmp_seq=120 ttl=51 time=25.0 ms
1240 bytes from 198.51.100.100: icmp_seq=121 ttl=51 time=32.5 ms
1240 bytes from 198.51.100.100: icmp_seq=122 ttl=51 time=54.0 ms
1240 bytes from 198.51.100.100: icmp_seq=123 ttl=51 time=23.4 ms
1240 bytes from 198.51.100.100: icmp_seq=124 ttl=51 time=28.0 ms
1240 bytes from 198.51.100.100: icmp_seq=126 ttl=51 time=33.2 ms
1240 bytes from 198.51.100.100: icmp_seq=127 ttl=51 time=49.6 ms
