PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=1 ttl=53 time=20.3 ms
1240 bytes from 198.51.100.100: icmp_seq=2 ttl=53 time=21.1 ms
1240 bytes from 198.51.100.100: icmp_seq=3 ttl=53 time=38.0 ms
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=53 time=18.8 ms
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=53 time=39.0 ms
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=53 time=42.5 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=53 time=21.0 ms
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=53 time=21.9 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=53 time=24.3 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=53 time=41.2 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=53 time=38.4 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=53 time=38.4 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=53 time=111 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=53 time=55.0 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=53 time=42.8 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=53 time=20.9 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=53 time=27.2 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=53 time=24.3 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=53 time=42.2 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=53 time=21.7 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=53 time=21.4 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=53 time=20.9 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=53 time=31.4 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=53 time=40.8 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=53 time=42.7 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=53 time=22.1 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=53 time=23.9 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=53 time=37.0 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=53 time=31.0 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=53 time=58.1 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=53 time=21.5 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=53 time=21.5 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=53 time=23.5 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=53 time=45.8 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=53 time=41.1 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=53 time=22.4 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=53 time=31.2 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=53 time=36.7 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=53 time=40.4 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=53 time=49.5 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=53 time=23.3 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=53 time=23.6 ms
1240 bytes from 198.51.100.100: icmp_seq=43 ttl=53 time=34.6 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=53 time=40.0 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=53 time=26.2 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=53 time=22.5 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=53 time=26.4 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=53 time=40.4 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=53 time=39.9 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=53 time=142 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=53 time=260 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=53 time=24.4 ms
1240 bytes from 198.51.100.100: icmp_seq=54 ttl=53 time=170 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=53 time=273 ms
1240 bytes from 198.51.100.100: icmp_seq=56 ttl=53 time=46.6 ms
1240 bytes from 198.51.100.100: icmp_seq=57 ttl=53 time=100 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=53 time=92.9 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=53 time=108 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=53 time=22.0 ms
1240 bytes from 198.51.100.100: icmp_seq=61 ttl=53 time=21.4 ms
1240 bytes from 198.51.100.100: icmp_seq=62 ttl=53 time=37.6 ms
1240 bytes from 198.51.100.100: icmp_seq=63 ttl=53 time=42.0 ms
1240 bytes from 198.51.100.100: icmp_seq=64 ttl=53 time=38.7 ms
1240 bytes from 198.51.100.100: icmp_seq=65 ttl=53 time=25.8 ms
1240 bytes from 198.51.100.100: icmp_seq=66 ttl=53 time=30.8 ms
1240 bytes from 198.51.100.100: icmp_seq=67 ttl=53 time=235 ms
1240 bytes from 198.51.100.100: icmp_seq=68 ttl=53 time=59.0 ms
